,date,t_volume,t_sum_pos,t_sum_neg,t_sum_neut,t_sum_comp,t_avg_neut,t_avg_pos,t_avg_neg,t_avg_comp,t_zavg_neut,t_zavg_pos,t_zavg_neg,t_zavg_comp,t_nonZero_neut,t_nonZero_pos,t_nonZero_neg,t_nonZero_comp,t_day_of_week,t_is_weekend
0,2019-03-26,72635,6789.477,2215.836,63613.560999999994,15461.908000000001,0.8757976319955944,0.09347390376540235,0.030506450058511735,0.2128713154815172,0.8760267847306378,0.16750492191547628,0.12932391735730125,0.4206062947145073,72616,40533,17134,36761,0,0
1,2019-03-27,78592,7700.942,2158.9040000000005,68721.946,19160.4929,0.8744140116042345,0.09798633448697068,0.027469767915309452,0.2437969882430782,0.8746143253493521,0.17084350874079332,0.12869003338102053,0.46513953584346857,78574,45076,16776,41193,0,0
2,2019-03-28,78766,7491.213,2429.966,68835.597,17701.770600000003,0.8739252596297894,0.09510719091994008,0.03085044308457964,0.22473872736967732,0.874102819047619,0.16467823697515938,0.13234388105223027,0.42998859794014777,78750,45490,18361,41168,0,0
3,2019-03-29,70494,6793.746999999999,2186.1050000000005,61508.604999999996,15623.195300000003,0.8725367407155218,0.09637340766590063,0.031011220813118853,0.22162446874911343,0.8726729140360087,0.1689314451959419,0.1308026685813439,0.4355261847680643,70483,40216,16713,35872,0,0
4,2019-03-30,71713,6938.961,2726.259,62041.79300000001,14089.0469,0.8651401140657902,0.09676015506254096,0.03801624531117092,0.19646433561557874,0.8652728375777525,0.16482484144516496,0.13453042190969652,0.4179113961973126,71702,42099,20265,33713,0,0
5,2019-03-31,62468,6022.011,1943.868,54494.12400000001,13557.6306,0.8723526285458156,0.09640153358519563,0.03111782032400589,0.21703321060382916,0.8725481794600828,0.1677440389972145,0.12797866877345446,0.42849654235145385,62454,35900,15189,31640,0,0
6,2019-04-01,78742,7505.377000000001,2342.848,68887.789,17240.4252,0.8748544487059003,0.09531605750425441,0.029753473368723173,0.2189482766503264,0.8750544814795996,0.16606653390861825,0.1229196222455404,0.4233584264420598,78724,45195,19060,40723,0,0
7,2019-04-02,134040,12046.887999999999,4270.8820000000005,117675.76199999999,25903.552700000004,0.8779152641002684,0.08987532079976125,0.031862742464935846,0.19325240749030143,0.8783674228004568,0.16382745396687245,0.12598843623705716,0.39398835992516773,133971,73534,33899,65747,0,0
8,2019-04-03,127123,12461.145,3992.1860000000006,110642.941,28289.830500000004,0.8703613114857265,0.09802431503347152,0.03140412041880699,0.2225390409288642,0.8707517431885792,0.17218898976080918,0.11757284641437198,0.4290303234807929,127066,72369,33955,65939,0,0
9,2019-04-04,121218,8988.432999999999,8822.483999999999,103379.59999999999,10953.623800000001,0.8528403372436436,0.0741509759276675,0.07278196307479086,0.09036301374383343,0.8531359345084835,0.16878418522552294,0.17006542398365362,0.22666108926871667,121176,53254,51877,48326,0,0
